subcategory,2022,2023,2024,2025
African American/  Black non-Hispanic,0.0229,0.0182,0.0007,0.0181
Asian/ Pacific Islander non-Hispanic,0.0084,0.007,0.0135,0.0078
Hispanic/Latinx,0.0143,0.0133,0.015,0.0152
Multiple Race non-Hispanic,0.0192,0.0148,0.0164,0.0215
Other/Unknown,,0.0071,0.0044,0.0058
White non-Hispanic,0.007,0.0082,0.1107,0.0083
