borough,n,positive_rate,flag_rate,precision,recall,fpr,roc_auc
Bronx,299,0.25418060200668896,0.2608695652173913,0.5256410256410257,0.5394736842105263,0.16591928251121077,0.7504720320981826
Brooklyn,274,0.2518248175182482,0.24817518248175183,0.5294117647058824,0.5217391304347826,0.15609756097560976,0.7423824673029339
Manhattan,180,0.3,0.3388888888888889,0.5573770491803278,0.6296296296296297,0.21428571428571427,0.7164902998236333
Queens,180,0.2111111111111111,0.18333333333333332,0.48484848484848486,0.42105263157894735,0.11971830985915492,0.710711638250556
Staten Island,67,0.22388059701492538,0.1791044776119403,0.5833333333333334,0.4666666666666667,0.09615384615384616,0.7538461538461538
